path,folder_path,size_gb,parsed_title,parsed_year,imdb_id,title,year,imdb_rating,imdb_votes,genre,runtime,verdict,reason
\\TOWER\rootshare\Movies\10 Cloverfield Lane (2016)\10 Cloverfield Lane (2016) Bluray-720p.mkv,\\TOWER\rootshare\Movies\10 Cloverfield Lane (2016),4.23,10 Cloverfield Lane,2016,tt1179933,10 Cloverfield Lane,2016,7.2,378714,"Drama, Horror, Sci-Fi",103,KEEP,ok
\\TOWER\rootshare\Movies\12 Angry Men (1957)\12 Angry Men (1957) Bluray-720p.mkv,\\TOWER\rootshare\Movies\12 Angry Men (1957),1.57,12 Angry Men,1957,tt0050083,12 Angry Men,1957,9.0,974200,"Crime, Drama",96,KEEP,ok
\\TOWER\rootshare\Movies\1917 (2019)\1917 (2019) Bluray-1080p Proper.mkv,\\TOWER\rootshare\Movies\1917 (2019),1.84,1917,2019,tt8579674,1917,2019,8.2,755263,"Action, Drama, War",119,KEEP,ok
\\TOWER\rootshare\Movies\2001 A Space Odyssey (1968)\2001 A Space Odyssey (1968) Bluray-720p.mkv,\\TOWER\rootshare\Movies\2001 A Space Odyssey (1968),5.71,2001 A Space Odyssey,1968,tt0062622,2001: A Space Odyssey,1968,8.3,772787,"Adventure, Sci-Fi",149,KEEP,ok
\\TOWER\rootshare\Movies\A Clockwork Orange (1971)\A Clockwork Orange (1971) Bluray-720p Proper REAL.mkv,\\TOWER\rootshare\Movies\A Clockwork Orange (1971),6.17,A Clockwork Orange,1971,tt0066921,A Clockwork Orange,1971,8.2,930482,"Crime, Sci-Fi",136,KEEP,ok
\\TOWER\rootshare\Movies\A Few Good Men (1992)\A Few Good Men (1992) Bluray-720p Proper.mkv,\\TOWER\rootshare\Movies\A Few Good Men (1992),4.0,A Few Good Men,1992,tt0104257,A Few Good Men,1992,7.7,314572,"Drama, Thriller",138,KEEP,ok
\\TOWER\rootshare\Movies\A Haunting in Venice (2023)\A Haunting in Venice (2023) Remux-1080p.mkv,\\TOWER\rootshare\Movies\A Haunting in Venice (2023),15.8,A Haunting in Venice,2023,tt22687790,A Haunting in Venice,2023,6.5,138856,"Crime, Drama, Horror",103,REMOVE,rating 6.5 < 7.0
\\TOWER\rootshare\Movies\A.I. Artificial Intelligence (2001)\A.I. Artificial Intelligence (2001) Bluray-720p.mkv,\\TOWER\rootshare\Movies\A.I. Artificial Intelligence (2001),7.12,A I Artificial Intelligence,2001,,,,,,,,REMOVE,not found
\\TOWER\rootshare\Movies\Aladdin (1992)\Aladdin (1992) Bluray-1080p Proper.mkv,\\TOWER\rootshare\Movies\Aladdin (1992),1.41,Aladdin,1992,tt0103639,Aladdin,1992,8.0,495493,"Animation, Adventure, Comedy",90,KEEP,ok
\\TOWER\rootshare\Movies\Alien (1979)\Alien (1979) Bluray-720p.mkv,\\TOWER\rootshare\Movies\Alien (1979),3.95,Alien,1979,tt0078748,Alien,1979,8.5,1049933,"Horror, Sci-Fi",117,KEEP,ok
